train_loss,train_acc,val_loss,val_acc
1.2362747326586172,0.5314013027273677,1.1640252732290601,0.5539147394817497
1.067529040484299,0.5968163293740639,1.0801424732710465,0.5936193925884647
0.9927756306835176,0.6279215576996761,1.0047247835307043,0.620785734187796
0.9472451259725383,0.6444668919154272,0.9973891554652033,0.6324881582613542
0.8984062930227069,0.6634504859103417,1.030337120537374,0.6271942045137922
0.8536727934979218,0.6808317949075203,0.9621594548723631,0.6457230426302591
0.8117576758977558,0.695078198474346,0.9512913418566825,0.6614655893006408
0.7682656387458289,0.7152460900762827,1.0007255355788327,0.6505990526609083
0.7279986823430201,0.7283430283186457,1.0249252450701984,0.6333240456951797
0.6765821774475352,0.7491727332892124,0.9373186446059942,0.6740039008080245
0.6289277605063871,0.7704552579330524,0.9619924507455994,0.6646698244636389
0.578356170075877,0.7856421331289839,1.0052122995444213,0.6680133741989412
0.5229269066775097,0.8082134522275245,1.072218941476359,0.6706603510727223
0.4732727748443558,0.8283465115469016,1.0551312112001099,0.6687099470604625
0.3250683016311811,0.8843219896199798,1.1995024680842195,0.6813875731401504
0.26528822956524023,0.9071371346964366,1.1950306031042301,0.6816662022847589
0.2290400531498623,0.9194329304399317,1.2697807866638835,0.674282529952633
0.19954630831569425,0.9324253718346163,1.3443736210444672,0.6787405962663695
0.17367068531329763,0.9418300881256749,1.4531835405050662,0.6767901922541097
0.16005033471634647,0.9447908321432303,1.563398634185031,0.6797157982724993
0.10872405142930115,0.9638092584207043,1.5727746191879075,0.686960156032321
0.08849351930106096,0.9708453794977184,1.6652572272746602,0.687517414321538
0.07770408098930255,0.9748162597094988,1.7664399728963687,0.6826414042908888
0.06840065985024256,0.9791702950294333,1.7655491061979895,0.6894678183337977
0.06522590556278347,0.9794141210073496,1.7904555428722304,0.6912789077737531
0.06676136843153993,0.9794837855724685,1.823762740920134,0.6894678183337977
0.05897494786899704,0.9812602319830018,1.8441201510719019,0.6911395932014489
0.054575647437191295,0.9823400327423456,1.9207024815089857,0.690164391195319
0.054108655825704975,0.9835939949144867,1.8628889386303147,0.6868208414600168
0.03971328076109222,0.9871120554529939,1.9518762180136917,0.6886319308999721
